Product Name, Price, Moved,Profit
12-days-of-christmas-pack-3d-pop-up-christmas-cards,99,0,0
3-santa-pack-3d-pop-up-christmas-cards,29,1,29
3d-pop-up-shark-tank-christmas-card,13,1,13
5-days-of-love-3d-pop-up-valentines-day-card-pack,43,5,215
a-bear-for-every-season-card-10-pack,99,0,0
acoustic-guitar-pop-up-card,13,2,26
adult-birthday-3d-pop-up-card-pack,49,11,539
airplane-pop-up-card,13,34,442
all-i-want-for-christmas-is-lovepop-29-pack,289,1,289
american-flag-pop-up-card,10,5,50
angel-3d-pop-up-christmas-card,10,52,520
apple-tree-3d-pop-up-card,13,0,0
baby-bear-3d-pop-up-card,13,1,13
baby-chicks-3d-pop-up-greeting-card,10,3,30
baby-its-cold-outside-5-pack,60,0,0
ballerina-pop-up-dance-card,13,34,442
balloon-bouquet-birthday-pop-up-card,10,453,4530
balloon-bouquet-blue-pop-up-card,10,73,730
balloon-bouquet-pink-pop-up-card,10,161,1610
barrel-cactus-pop-up-card,13,81,1053
baseball-3d-pop-up-fathers-day-card,13,107,1391
bears-pop-up-card,10,118,1180
bed-3d-pop-up-love-card,10,18,180
beer-3d-pop-up-greeting-card,10,167,1670
bird-nest-pop-up-card,10,112,1120
birthday-card-5-pack,48,1,48
birthday-present-pop-up-card,10,332,3320
blackhawk-helicopter-3d-pop-up-greeting-card,13,56,728
blue-birthday-bear-3d-pop-up-birthday-card,13,2,26
boston-skyline,13,329,4277
buddha-pop-up-card,13,75,975
bun-in-the-oven-3d-pop-up-mothers-day-card,13,46,598
camera-pop-up-card,10,34,340
camping-trip-pop-up-card,13,98,1274
cat-mom-3d-pop-up-mothers-day-card,13,420,5460
cat-playhouse-3d-pop-up-greeting-card,10,6,60
celtic-harp-3d-pop-up-card,13,2,26
champagne-bottle-3d-pop-up-new-year-card,10,16,160
champagne-ladies-3d-pop-up-new-year-card,10,16,160
cherry-blossom-tree-3d-pop-up-mothers-day-card,13,2724,35412
cherry-pie-pop-up-card,13,22,286
christmas-bear-3d-pop-up-holiday-card,13,0,0
christmas-candle-christmas-card,13,9,117
christmas-character-pack-3d-pop-up-holiday-card,29,0,0
christmas-eiffel-3d-pop-up-christmas-card,13,0,0
christmas-fun-5-pack,62,1,62
christmas-poinsettia-christmas-card,13,2,26
christmas-tree-blue,13,0,0
christmas-tree-holiday-photo-card,13,1,13
christmas-tree-pop-up-card,13,13,169
classic-christmas-7-pack,69,0,0
coffee-cup-pop-up-card,10,84,840
cornucopia-3d-pop-up-greeting-card,13,1,13
couple-love-pop-up-card,10,60,600
cupcake-birthday-pop-up-card,10,276,2760
cyclist-pop-up-biking-card,10,62,620
daisy-pop-up-card,10,1214,12140
day-of-the-dead,13,13,169
democratic-donkey-3d-pop-up-greeting-card,10,0,0
diamond-ring-3d-pop-up-valentines-day-card,10,47,470
dog-family-pop-up-puppy-card,13,125,1625
dog-house-3d-pop-up-greeting-card,13,15,195
dogwood-tree-pop-up-card,10,105,1050
dollhouse-pop-up-card,13,5,65
duckling-pop-up-card,10,52,520
easter-bunny-bear-3d-pop-up-card,13,182,2366
easter-bunny-pop-up-card,10,0,0
easter-egg-hunt-3d-pop-up-card,13,152,1976
easter-pack-3d-pop-up-card,29,3,87
elephant-family-pop-up-card,13,106,1378
everyday-card-5-pack,56,2,112
everything-love-3d-pop-up-valentines-day-card-12-pack,99,6,594
fairy-godmother-pop-up-card,10,47,470
fall-bear,13,3,39
fall-pop-up-card-5-pack,53,0,0
family-photo-christmas-10-pack,99,50,4950
fancy-lobster-3d-pop-up-birthday-card,13,323,4199
faneuil-hall-pop-up-card,13,1,13
festive-palm-tree-christmas-card,13,6,78
fishing-bear-3d-pop-up-card,13,41,533
floral-bouquet-grey-pop-up-card,13,211,2743
floral-card-twelve-pack,99,27,2673
flower-bear-greeting-card,13,170,2210
flower-garden-love-pop-up-card,10,237,2370
for-the-kids-3d-pop-up-valentines-day-card-pack,29,2,58
forest-noel-3d-pop-up-christmas-card,13,1,13
french-flower-cart-3d-pop-up-love-card,13,23,299
fun-card-5-pack,62,1,62
gingerbread-house-christmas-card,13,8,104
giraffe-family-pop-up-card,10,53,530
girls-night-out-3d-pop-up-valentines-day-card,13,23,299
gma-every-day-collection-steals-and-deals,49,0,0
gold-birthday-bear-3d-pop-up-birthday-card,13,192,2496
gold-christmas-tree-pop-up-holiday-card,13,1,13
golf-pop-up-card,13,81,1053
gondola-love-scene-pop-up-card,15,13,195
graduation-hats-black-3d-pop-up-graduation-card,10,285,2850
graduation-hats-blue-3d-pop-up-graduation-card,10,15,150
graduation-hats-gold-3d-pop-up-graduation-card,10,39,390
graduation-hats-green-3d-pop-up-graduation-card,10,23,230
graduation-hats-orange-3d-pop-up-graduation-card,10,26,260
graduation-hats-red-3d-pop-up-graduation-card,10,51,510
graduation-owl-pop-up-card,10,0,0
groovy-yellow-submarine-3d-pop-up-birthday-card,13,61,793
halloween-5-pack,49,8,392
hammock-girl-pop-up-card,13,22,286
hammock-guy-pop-up-card,13,26,338
hanukkah-menorah-pop-up-card,13,1,13
haunted-house,13,4,52
heart-bench-pop-up-card,13,48,624
holiday-cactus-pop-up-card,13,0,0
holiday-caddy,13,0,0
holiday-forest-12-pack-holiday-christmas-pop-up-cards,99,1,99
holiday-moose-pop-up-card,13,3,39
holiday-train-xmas-card,13,9,117
horses-running-pop-up-card,13,57,741
hot-dog-stand-3d-pop-up-card,13,33,429
house-for-sale-3d-pop-up-housewarming-card,15,5,75
housewarming-gray-3d-pop-up-housewarming-card,13,7,91
humvee-military-card,13,72,936
jack-o-lantern-pop-up-card,10,7,70
jamaican-flag-3d-pop-up-greeting-card,10,1,10
jesus-3d-pop-up-easter-card,13,1,13
jungle-animals-pop-up-card,13,29,377
just-because-card-twelve-pack,109,1,109
kangaroos-pop-up-card,10,67,670
kevin-o-leary-shark-tank-pop-up-card,10,1,10
kids-birthday-3d-pop-up-pack,49,7,343
las-vegas-dice-pop-up-card,10,0,0
las-vegas-showgirl-pop-up-card,10,0,0
las-vegas-sign-pop-up-card,13,2,26
laughing-buddha-pop-up-card,13,53,689
leprechaun-3d-pop-up-st-patricks-day-greeting-card,10,1,10
life-events-pop-up-card-ten-pack,89,5,445
love-bear-valentines-day-3d-pop-up-card,13,136,1768
love-cupcake-pop-up-card,13,49,637
love-explosion-pop-up-valentines-day-card,10,105,1050
lovebirds-3d-pop-up-love-card,13,31,403
lovepop-birthday-cake-pop-up-card,10,379,3790
lovepop-survival-pack,99,0,0
lovers-dogwood-tree-pink-pop-up-card,10,268,2680
lovers-dogwood-tree-yellow-pop-up-card,10,131,1310
lovers-in-a-dogwood-tree-brown-wedding-card,10,35,350
lovers-in-a-dogwood-tree-gray,10,3,30
lovers-in-a-dogwood-tree-male-3d-pop-up-gay-valentines-day-card,10,48,480
lovers-in-a-dogwood-tree-pop-up-lesbian-greeting-card,10,9,90
lucky-cat-pop-up-card,13,4,52
lucky-clover-3d-pop-up-st-patricks-day-greeting-card,10,62,620
magnolia-tree-3d-pop-up-love-card,13,788,10244
manger-nativity-pop-up-christmas-card,13,10,130
mayflower-ship-3d-pop-up-card,13,21,273
mermaid-3d-pop-up-birthday-card,10,211,2110
money-tree-birthday-card,13,125,1625
mothers-day-floral-card-pack,49,0,0
nativity-christmas-card,13,9,117
nautical-card-5-pack,49,5,245
new-baby-card-5-pack,39,0,0
new-home-3d-pop-up-new-home-card,15,4,60
new-year-tuxedo-bear-3d-pop-up-new-year-card,13,11,143
new-york-ball-drop-3d-pop-up-new-year-card,10,0,0
new-york-city-3d-pop-up-shark-tank-card,13,216,2808
ninja-card,13,45,585
oak-tree-3d-pop-up-card,13,1,13
oculus-new-york-pop-up-card,15,0,0
original-lovepop-pop-up-card,10,221,2210
ornament-pop-up-card,10,0,0
ornate-floral-bouquet-blue-pop-up-card,13,862,11206
ornate-floral-bouquet-gold-blue-pop-up-card,13,52,676
ornate-floral-bouquet-purple-pop-up-card,13,0,0
otter-mom-pop-up-animal-card,10,41,410
panda-bear-pop-up-card,13,189,2457
paris-love-scene-pop-up-card,15,13,195
pastel-party-hat-3d-pop-up-birthday-card,10,1,10
peace-sign-3d-pop-up-card,10,6,60
peacock-birthday-card,13,231,3003
peas-in-a-pod-pop-up-card,13,36,468
penguin-dad-kirgami-card,10,27,270
pi-day-pie-3d-pop-up-card,13,6,78
pirate-ship-3d-pop-up-birthday-card,13,357,4641
pop-up-basketball-birthday-card,13,70,910
pop-up-bear-graduation-card,13,52,676
pop-up-boxing-card,13,6,78
pop-up-diwali-card,13,4,52
pug-cake-smash-3d-pop-up-birthday-card,10,320,3200
puppy-bath-time-3d-card,10,27,270
racing-runner-pop-up-card,10,32,320
rainbow-bridge-card,13,30,390
reindeer-with-presents-3d-pop-up-christmas-card,13,0,0
release-the-kraken-pop-up-birthday-card,13,314,4082
republican-elephant-3d-pop-up-greeting-card,10,0,0
robot-dad-3d-pop-up-fathers-day-card,13,36,468
rocket-ship-3d-pop-up-fathers-day-card,13,385,5005
romantic-pop-up-valentines-day-card-pack,29,7,203
rose-bouquet-3d-pop-up-valentines-day-card,13,269,3497
royal-flush-pop-up-card,13,12,156
saguaro-cactus-3d-pop-up-card,13,59,767
sailboat-3d-pop-up-card,13,97,1261
santa-hammock-christmas-card,13,18,234
santa-motorcycle-christmas-card,13,3,39
santa-on-the-move-3-pack,33,3,99
santa-sleigh-christmas-card,13,9,117
scaredy-cat-3d-pop-up-greeting-card,10,14,140
shark-pop-up-card,13,88,1144
shark-tank-roberts-sports-car-3d-pop-up-birthday-card,13,24,312
shopping-time-pop-up-card,10,13,130
slot-machine-pop-up-card,10,0,0
small-coffee-cup-3d-pop-up-gift-card,8,46,368
snake-3d-pop-up-birthday-card,13,3,39
snowflake-blizzard-12-pack-3d-pop-up-holiday-winter-cards,99,0,0
snowflake-tree-holiday-card,13,8,104
snowman-christmas-card,13,8,104
sparkling-snowflake-pop-up-card,13,0,0
