Product Name, Price, Moved,Profit
12-days-of-christmas-pack-3d-pop-up-christmas-cards,99,0,0
3-santa-pack-3d-pop-up-christmas-cards,29,0,0
3d-pop-up-shark-tank-christmas-card,13,4,52
a-bear-for-every-season-card-10-pack,99,0,0
acoustic-guitar-pop-up-card,13,19,247
airplane-pop-up-card,13,46,598
american-flag-pop-up-card,10,54,540
angel-3d-pop-up-christmas-card,10,15,150
apple-tree-3d-pop-up-card,13,0,0
baby-bear-3d-pop-up-card,13,149,1937
baby-chicks-3d-pop-up-greeting-card,10,3,30
baby-its-cold-outside-5-pack,60,1,60
ballerina-pop-up-dance-card,13,18,234
balloon-bouquet-birthday-pop-up-card,10,51,510
balloon-bouquet-blue-pop-up-card,10,0,0
balloon-bouquet-pink-pop-up-card,10,0,0
barrel-cactus-pop-up-card,13,1,13
baseball-3d-pop-up-fathers-day-card,13,171,2223
beach-day-pop-up-card,13,140,1820
bears-pop-up-card,10,68,680
bed-3d-pop-up-love-card,10,15,150
beer-3d-pop-up-greeting-card,10,331,3310
bird-nest-pop-up-card,13,41,533
birthday-present-pop-up-card,10,73,730
blackhawk-helicopter-3d-pop-up-greeting-card,13,64,832
blue-birthday-bear-3d-pop-up-birthday-card,13,0,0
boston-skyline,13,55,715
buddha-pop-up-card,13,0,0
bun-in-the-oven-3d-pop-up-mothers-day-card,13,2,26
camera-pop-up-card,10,77,770
camping-trip-pop-up-card,13,194,2522
canoe,13,30,390
canoe-pop-up-card,13,113,1469
cat-mom-3d-pop-up-mothers-day-card,13,194,2522
cat-playhouse-3d-pop-up-greeting-card,10,2,20
celtic-harp-3d-pop-up-card,13,3,39
champagne-bottle-3d-pop-up-new-year-card,10,22,220
champagne-ladies-3d-pop-up-new-year-card,10,5,50
cherry-blossom-tree-3d-pop-up-mothers-day-card,13,289,3757
cherry-pie-pop-up-card,13,0,0
christmas-bear-3d-pop-up-holiday-card,13,1,13
christmas-candle-christmas-card,13,3,39
christmas-character-pack-3d-pop-up-holiday-card,29,0,0
christmas-eiffel-3d-pop-up-christmas-card,13,0,0
christmas-fun-5-pack,62,1,62
christmas-poinsettia-christmas-card,13,3,39
christmas-tree-blue,13,0,0
christmas-tree-holiday-photo-card,13,2,26
christmas-tree-pop-up-card,13,2,26
classic-christmas-7-pack,69,1,69
coffee-cup-pop-up-card,10,0,0
construction-bear-3d-pop-up-card,13,637,8281
copy-of-construction-bear,13,0,0
cornucopia-3d-pop-up-greeting-card,13,0,0
couple-love-pop-up-card,10,8,80
cupcake-birthday-pop-up-card,10,312,3120
cyclist-pop-up-biking-card,10,68,680
daisy-pop-up-card,13,826,10738
day-of-the-dead,13,8,104
democratic-donkey-3d-pop-up-greeting-card,10,2,20
diamond-ring-3d-pop-up-valentines-day-card,10,37,370
dog-family-pop-up-puppy-card,13,294,3822
dog-house-3d-pop-up-greeting-card,13,0,0
dogwood-tree-pop-up-card,10,0,0
dollhouse-pop-up-card,13,4,52
duckling-pop-up-card,10,8,80
easter-bunny-bear-3d-pop-up-card,13,0,0
easter-bunny-pop-up-card,10,0,0
easter-egg-hunt-3d-pop-up-card,13,0,0
easter-pack-3d-pop-up-card,29,0,0
elephant-family-pop-up-card,13,125,1625
everyday-card-5-pack,56,3,168
excavator-3d-pop-up-card,13,155,2015
fairy-godmother-pop-up-card,10,6,60
fall-bear,13,1,13
family-photo-christmas-10-pack,99,1,99
fancy-lobster-3d-pop-up-birthday-card,13,25,325
faneuil-hall-pop-up-card,13,2,26
festive-palm-tree-christmas-card,13,6,78
fishing-bear-3d-pop-up-card,13,158,2054
floral-bouquet-grey-pop-up-card,13,23,299
flower-bear-greeting-card,13,173,2249
flower-garden-love-pop-up-card,10,181,1810
football-3d-pop-up-card,13,77,1001
forest-noel-3d-pop-up-christmas-card,13,1,13
french-flower-cart-3d-pop-up-love-card,13,16,208
game-controller,13,0,0
gingerbread-house-christmas-card,13,0,0
giraffe-family-pop-up-card,10,1,10
girls-night-out-3d-pop-up-valentines-day-card,13,0,0
gma-every-day-collection-steals-and-deals,49,0,0
gold-birthday-bear-3d-pop-up-birthday-card,13,20,260
gold-christmas-tree-pop-up-holiday-card,13,0,0
golf-pop-up-card,13,328,4264
gondola-love-scene-pop-up-card,15,0,0
graduation-hats-black-3d-pop-up-graduation-card,10,70,700
graduation-hats-blue-3d-pop-up-graduation-card,10,10,100
graduation-hats-gold-3d-pop-up-graduation-card,10,22,220
graduation-hats-green-3d-pop-up-graduation-card,10,18,180
graduation-hats-orange-3d-pop-up-graduation-card,10,19,190
graduation-hats-red-3d-pop-up-graduation-card,10,1,10
graduation-owl-pop-up-card,10,152,1520
hammock-girl-pop-up-card,13,0,0
hammock-guy-pop-up-card,13,0,0
hanukkah-menorah-pop-up-card,13,1,13
haunted-house,13,0,0
heart-bench-pop-up-card,13,1,13
hedgehog-pop-up-card,13,3,39
holiday-cactus-pop-up-card,13,2,26
holiday-caddy,13,0,0
holiday-forest-12-pack-holiday-christmas-pop-up-cards,99,1,99
holiday-moose-pop-up-card,13,2,26
holiday-train-xmas-card,13,0,0
horses-running-pop-up-card,13,0,0
hot-dog-stand-3d-pop-up-card,13,8,104
house-for-sale-3d-pop-up-housewarming-card,15,4,60
housewarming-gray-3d-pop-up-housewarming-card,13,55,715
jack-o-lantern-pop-up-card,10,2,20
jamaican-flag-3d-pop-up-greeting-card,10,0,0
jesus-3d-pop-up-easter-card,13,1,13
jungle-animals-pop-up-card,13,0,0
kangaroos-pop-up-card,10,0,0
kevin-o-leary-shark-tank-pop-up-card,10,0,0
las-vegas-dice-pop-up-card,10,3,30
las-vegas-showgirl-pop-up-card,10,5,50
las-vegas-sign-pop-up-card,13,24,312
laughing-buddha-pop-up-card,13,14,182
lawn-mower,13,57,741
lawn-mower-pop-up-card,13,0,0
leprechaun-3d-pop-up-st-patricks-day-greeting-card,10,9,90
log-cabin-3d-pop-up-card,13,97,1261
love-bear-valentines-day-3d-pop-up-card,13,80,1040
love-cupcake-pop-up-card,13,2,26
love-explosion-pop-up-valentines-day-card,10,7,70
love-toaster-3d-pop-up-valentines-day-card,10,1,10
lovebirds-3d-pop-up-love-card,13,8,104
lovepop-birthday-cake-pop-up-card,10,397,3970
lovers-dogwood-tree-pink-pop-up-card,10,3,30
lovers-dogwood-tree-yellow-pop-up-card,10,99,990
lovers-in-a-dogwood-tree-brown-wedding-card,10,0,0
lovers-in-a-dogwood-tree-gray,10,6,60
lovers-in-a-dogwood-tree-male-3d-pop-up-gay-valentines-day-card,10,3,30
lovers-in-a-dogwood-tree-pop-up-lesbian-greeting-card,10,0,0
lucky-cat-pop-up-card,13,93,1209
lucky-clover-3d-pop-up-st-patricks-day-greeting-card,10,5,50
magnolia-tree-3d-pop-up-love-card,13,208,2704
manger-nativity-pop-up-christmas-card,13,0,0
mayflower-ship-3d-pop-up-card,13,27,351
mermaid-3d-pop-up-birthday-card,10,36,360
money-tree-birthday-card,13,20,260
nativity-christmas-card,13,6,78
nautical-card-5-pack,49,6,294
new-home-3d-pop-up-new-home-card,15,2,30
new-year-tuxedo-bear-3d-pop-up-new-year-card,13,0,0
new-york-ball-drop-3d-pop-up-new-year-card,10,1,10
new-york-city-3d-pop-up-shark-tank-card,13,5,65
ninja-card,13,86,1118
oak-tree-3d-pop-up-card,13,1,13
oculus-new-york-pop-up-card,15,4,60
original-lovepop-pop-up-card,10,0,0
ornament-pop-up-card,10,24,240
