Product Name, ID, Price,Fri May 05 2017 23:44:40 GMT-0400 (EDT),Sat May 06 2017 03:44:39 GMT-0400 (EDT),Sat May 06 2017 07:44:38 GMT-0400 (EDT),Sat May 06 2017 11:44:38 GMT-0400 (EDT),Sat May 06 2017 15:44:37 GMT-0400 (EDT),Sat May 06 2017 19:44:36 GMT-0400 (EDT),Sat May 06 2017 23:44:37 GMT-0400 (EDT),Sun May 07 2017 03:44:36 GMT-0400 (EDT),Sun May 07 2017 17:10:22 GMT-0400 (EDT)
12-days-of-christmas-pack-3d-pop-up-christmas-cards,10693857985,99,65,65,65,65,65,65,0,63,62
3-santa-pack-3d-pop-up-christmas-cards,10694124289,29,0,42,42,42,42,42,42,42,0
3d-pop-up-shark-tank-christmas-card,10728524481,13,0,573,573,573,573,573,0,572,0
a-bear-for-every-season-card-10-pack,28259322753,99,31,31,31,31,31,31,0,30,30
airplane-pop-up-card,30912195853,13,0,205,205,202,202,202,193,193,0
american-flag-pop-up-card,4863035265,10,1071,1071,1071,1070,1070,1070,0,1061,0
angel-3d-pop-up-christmas-card,7244238593,10,0,1267,1267,1266,1266,1266,0,1260,0
baby-bear-3d-pop-up-card,34276408461,13,0,1996,1996,1980,1980,1980,1924,1924,0
baby-chicks-3d-pop-up-greeting-card,12311549569,10,406,406,406,0,397,397,0,387,373
baby-its-cold-outside-5-pack,27961379777,60,42,42,42,42,42,42,42,42,0
ballerina-pop-up-dance-card,21062778305,13,315,315,315,0,301,301,0,0,283
beach-day-pop-up-card,32653211917,13,0,77,77,48,48,48,0,0,0
bears-pop-up-card,1194484957,10,0,106,106,0,73,73,0,34,0
bed-3d-pop-up-love-card,10684378945,10,0,556,556,0,553,553,0,0,538
bird-nest-pop-up-card,1330467841,13,0,1480,1480,1462,1462,1462,1400,1400,0
birthday-card-5-pack,28522627597,48,53,53,53,0,35,35,27,27,0
birthday-present-pop-up-card,10672129857,10,0,1093,1093,1087,1087,1087,NaN,NaN,0
blackhawk-helicopter-3d-pop-up-greeting-card,10728484801,13,0,72,72,0,70,70,0,68,63
boston-skyline,32653693645,13,0,251,251,247,247,247,0,234,0
buddha-pop-up-card,30859706061,13,761,761,761,0,758,758,0,754,750
camera-pop-up-card,22637492417,10,578,578,578,0,572,572,568,568,0
camping-trip-pop-up-card,18578100737,13,818,818,818,0,807,807,0,797,0
cat-playhouse-3d-pop-up-greeting-card,5799994049,10,160,160,160,153,153,153,0,144,138
celtic-harp-3d-pop-up-card,18585258433,13,445,445,445,445,445,445,445,445,0
champagne-bottle-3d-pop-up-new-year-card,10594542145,10,0,362,362,0,355,355,353,353,348
champagne-ladies-3d-pop-up-new-year-card,10593353473,10,0,1673,1673,0,1668,1668,1661,1661,1656
cherry-blossom-tree-3d-pop-up-mothers-day-card,17253170241,13,0,6331,6331,6105,6105,6105,5228,5228,0
cherry-pie-pop-up-card,17104957633,13,0,76,76,0,72,72,67,67,63
christmas-bear-3d-pop-up-holiday-card,8071693377,13,0,310,310,310,310,310,310,310,0
christmas-candle-christmas-card,21851090945,13,0,4559,4559,0,0,0,4559,4559,4557
christmas-character-pack-3d-pop-up-holiday-card,10694136257,29,0,81,81,81,81,81,81,81,0
christmas-eiffel-3d-pop-up-christmas-card,10492354881,13,0,154,154,0,0,0,0,154,154
christmas-fun-5-pack,27963349889,62,0,161,161,161,161,161,161,161,0
christmas-poinsettia-christmas-card,21869798721,13,0,786,786,785,785,785,782,782,0
christmas-tree-blue,8204949441,13,0,281,281,281,281,281,280,280,0
christmas-tree-holiday-photo-card,21870489537,13,230,230,230,0,230,230,230,230,0
christmas-tree-pop-up-card,1095371785,13,0,4850,4850,0,0,4848,4846,4846,4845
classic-christmas-7-pack,27962047425,69,63,63,63,63,63,63,0,63,63
cornucopia-3d-pop-up-greeting-card,8031960193,13,0,181,181,181,181,181,180,180,0
couple-love-pop-up-card,1095371541,10,0,112,112,0,104,104,0,94,85
cupcake-birthday-pop-up-card,2668806209,10,154,154,154,143,143,143,121,121,0
cyclist-pop-up-biking-card,3308267521,10,111,111,111,0,107,107,104,104,0
daisy-pop-up-card,22637362945,13,1735,1735,1735,0,1453,1453,1207,1207,0
day-of-the-dead,7244238977,13,0,126,126,0,125,125,124,124,121
democratic-donkey-3d-pop-up-greeting-card,24305785153,10,324,324,324,324,324,324,324,324,0
diamond-ring-3d-pop-up-valentines-day-card,10433200065,10,0,576,576,0,573,573,0,0,562
dog-family-pop-up-puppy-card,34276599757,13,0,2037,2037,2009,2009,2009,NaN,NaN,0
dollhouse-pop-up-card,30942690637,13,115,115,115,0,112,112,0,111,110
easter-bunny-bear-3d-pop-up-card,12311819009,13,58,58,58,58,58,58,58,58,0
easter-bunny-pop-up-card,6735926145,10,99,99,99,0,99,99,99,99,0
easter-egg-hunt-3d-pop-up-card,12311980097,13,0,170,170,0,0,170,169,169,169
easter-pack-3d-pop-up-card,16438911297,29,42,42,42,0,42,42,42,42,0
elephant-family-pop-up-card,30552858125,13,0,621,621,596,596,596,475,475,0
everyday-card-5-pack,28539244365,56,67,67,67,0,67,67,0,67,66
fairy-godmother-pop-up-card,2037804417,10,85,85,85,0,76,76,67,67,0
fall-bear,7244234113,13,0,565,565,0,565,565,565,565,565
family-photo-christmas-10-pack,28325509441,99,19,19,19,18,18,18,0,17,17
faneuil-hall-pop-up-card,1095371813,13,0,724,724,723,723,723,723,723,0
festive-palm-tree-christmas-card,21602196801,13,0,661,661,0,0,661,661,661,0
floral-bouquet-grey-pop-up-card,6661357889,13,1292,1292,1292,0,1259,1259,1222,1222,0
flower-bear-greeting-card,19570356801,13,0,4227,4227,4175,4175,4175,4071,4071,0
forest-noel-3d-pop-up-christmas-card,10492706497,13,0,284,284,284,284,284,284,284,0
fun-card-5-pack,28540195597,62,10,10,10,0,10,10,0,10,8
gingerbread-house-christmas-card,21793329665,13,0,2868,2868,0,0,2866,2866,2866,2866
girls-night-out-3d-pop-up-valentines-day-card,11570926913,13,0,316,316,0,314,314,308,308,304
gma-every-day-collection-steals-and-deals,18090297089,49,0,38,38,0,38,38,0,38,37
graduation-hats-blue-3d-pop-up-graduation-card,18486110657,10,0,716,716,701,701,701,NaN,NaN,0
graduation-hats-gold-3d-pop-up-graduation-card,18585264961,10,377,377,377,372,372,372,365,365,0
graduation-hats-green-3d-pop-up-graduation-card,18585681857,10,974,974,974,0,959,959,0,948,940
graduation-hats-orange-3d-pop-up-graduation-card,18485980417,10,594,594,594,593,593,593,587,587,0
graduation-owl-pop-up-card,2037836033,10,0,861,861,852,852,852,844,844,0
hammock-girl-pop-up-card,6661268289,13,0,5,5,0,0,0,0,0,0
hanukkah-menorah-pop-up-card,1095371693,13,234,234,234,233,233,233,0,232,228
haunted-house,7243970625,13,0,0,67,67,67,67,0,64,0
heart-bench-pop-up-card,1095371789,13,277,277,277,0,269,269,0,255,237
holiday-cactus-pop-up-card,21870768449,13,0,0,600,600,600,600,0,600,0
holiday-caddy,7244234753,13,0,0,1011,1011,1011,1011,0,1011,0
holiday-forest-12-pack-holiday-christmas-pop-up-cards,10694150273,99,0,21,21,0,21,21,0,21,21
holiday-moose-pop-up-card,21870730241,13,0,405,405,405,405,405,0,404,0
holiday-train-xmas-card,21869598145,13,0,3403,3403,0,0,3403,3403,3403,3402
hot-dog-stand-3d-pop-up-card,28920822989,13,381,381,381,0,379,379,0,375,374
house-for-sale-3d-pop-up-housewarming-card,18485046849,15,255,255,255,0,241,241,237,237,0
housewarming-gray-3d-pop-up-housewarming-card,18577400129,13,522,522,522,0,518,518,0,0,510
jack-o-lantern-pop-up-card,7244239169,10,0,0,1070,1070,1070,1070,0,1069,0
jamaican-flag-3d-pop-up-greeting-card,10438102017,10,234,234,234,234,234,234,0,234,0
jesus-3d-pop-up-easter-card,12311706177,13,642,642,642,0,640,640,0,638,638
just-because-card-twelve-pack,28350013057,109,0,26,26,0,25,25,0,25,23
kevin-o-leary-shark-tank-pop-up-card,10715810433,10,0,311,311,0,309,309,308,308,306
las-vegas-dice-pop-up-card,5461586497,10,0,0,395,394,394,394,0,394,0
las-vegas-showgirl-pop-up-card,5461586561,10,0,0,696,696,696,696,0,695,0
las-vegas-sign-pop-up-card,5461586689,13,565,565,565,0,562,562,0,0,558
laughing-buddha-pop-up-card,30860300557,13,347,347,347,0,345,345,0,343,343
leprechaun-3d-pop-up-st-patricks-day-greeting-card,11941878145,10,938,938,938,0,937,937,0,936,935
life-events-pop-up-card-ten-pack,10618514689,89,0,46,46,0,44,44,0,43,43
love-bear-valentines-day-3d-pop-up-card,10684538177,13,0,1599,1599,1553,1553,1553,NaN,NaN,0
love-cupcake-pop-up-card,30411995853,13,129,129,129,0,114,114,0,96,80
lovebirds-3d-pop-up-love-card,10684586177,13,72,72,72,0,58,58,0,52,42
lovers-dogwood-tree-pink-pop-up-card,1095371505,10,453,453,453,0,410,410,0,369,335
lovers-dogwood-tree-yellow-pop-up-card,6661436097,10,1255,1255,1255,0,1240,1240,0,1218,1197
lovers-in-a-dogwood-tree-male-3d-pop-up-gay-valentines-day-card,11643340737,10,0,1148,1148,1144,1144,1144,0,1138,0
lucky-cat-pop-up-card,32652152141,13,0,986,986,980,980,980,964,964,0
lucky-clover-3d-pop-up-st-patricks-day-greeting-card,11970182273,10,0,1396,1396,0,1395,1395,0,1393,1392
manger-nativity-pop-up-christmas-card,21802648321,13,0,3780,3780,3780,3780,3780,3780,3780,0
mayflower-ship-3d-pop-up-card,22637467137,13,0,217,217,0,216,216,0,216,215
mothers-day-floral-card-pack,34944477581,49,144,144,144,0,23,23,0,0,0
nativity-christmas-card,7244234945,13,0,1371,1371,0,0,1370,1370,1370,1370
nautical-card-5-pack,26630732545,49,46,46,46,0,46,46,0,45,43
new-baby-card-5-pack,16757002625,39,16,16,16,0,15,15,14,14,0
new-year-tuxedo-bear-3d-pop-up-new-year-card,10508539969,13,0,1288,1288,0,1288,1288,0,1288,1288
