Product Name, ID, Price,Tue Feb 14 2017 20:35:45 GMT-0500 (EST),Tue Feb 14 2017 20:38:17 GMT-0500 (EST),Wed Feb 15 2017 02:37:46 GMT-0500 (EST),Wed Feb 15 2017 08:37:46 GMT-0500 (EST),Wed Feb 15 2017 14:37:45 GMT-0500 (EST),Wed Feb 15 2017 20:37:45 GMT-0500 (EST),Thu Feb 16 2017 02:37:48 GMT-0500 (EST),Thu Feb 16 2017 08:37:43 GMT-0500 (EST),Thu Feb 16 2017 14:37:43 GMT-0500 (EST),Thu Feb 16 2017 20:37:41 GMT-0500 (EST),Fri Feb 17 2017 02:37:41 GMT-0500 (EST),Fri Feb 17 2017 08:37:40 GMT-0500 (EST),Fri Feb 17 2017 14:37:40 GMT-0500 (EST),Fri Feb 17 2017 20:37:39 GMT-0500 (EST),Sat Feb 18 2017 02:37:39 GMT-0500 (EST),Sat Feb 18 2017 08:37:38 GMT-0500 (EST),Sat Feb 18 2017 14:37:38 GMT-0500 (EST),Sat Feb 18 2017 20:37:37 GMT-0500 (EST),Sun Feb 19 2017 02:37:36 GMT-0500 (EST),Sun Feb 19 2017 08:37:36 GMT-0500 (EST),Sun Feb 19 2017 14:37:35 GMT-0500 (EST),Sun Feb 19 2017 20:37:34 GMT-0500 (EST),Mon Feb 20 2017 02:37:34 GMT-0500 (EST),Mon Feb 20 2017 08:37:37 GMT-0500 (EST),Mon Feb 20 2017 14:37:33 GMT-0500 (EST),Mon Feb 20 2017 20:37:32 GMT-0500 (EST)
12-days-of-christmas-pack-3d-pop-up-christmas-cards,10693857985,99,26,26,26,26,26,25,25,24,24,24,24,24,24,24,24,23,23,23,23,23,23,11,11,11,11,11
3-santa-pack-3d-pop-up-christmas-cards,10694124289,29,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
3d-pop-up-shark-tank-christmas-card,10728524481,13,354,354,354,354,353,353,352,352,352,352,352,352,352,352,352,352,352,352,352,352,351,350,349,349,349,348
5-days-of-love-3d-pop-up-valentines-day-card-pack,11443232449,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a-bear-for-every-season-card-10-pack,28259322753,99,10,10,10,10,8,7,7,7,7,6,5,5,4,3,2,1,1,1,1,1,1,5,5,5,5,5
acoustic-guitar-pop-up-card,18089441537,13,0,0,0,0,0,0,0,0,0,0,0,0,197,188,187,184,182,181,180,180,178,162,162,162,161,151
airplane-pop-up-card,30912195853,13,517,517,512,510,435,315,311,310,293,281,277,273,252,244,240,239,238,230,229,227,218,214,213,213,207,178
all-i-want-for-christmas-is-lovepop-29-pack,28257084993,289,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
american-flag-pop-up-card,4863035265,10,227,227,227,227,227,225,219,219,219,218,216,216,214,214,214,213,213,213,213,213,213,141,141,141,141,138
angel-3d-pop-up-christmas-card,7244238593,10,1942,1942,1942,1942,1934,1932,1927,1927,1923,1904,1904,1904,1902,1899,1897,1895,1895,1895,1895,1895,1894,1895,1895,1895,1893,1891
